epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
148,2141.8,2.43879,2.94122,2.0119,0.23924,0.34064,0.22818,0.08028,2.86455,2.80548,1.86172,0.0085447,0.0085447,0.0085447
149,2156.15,2.44863,2.96881,2.02666,0.40481,0.3118,0.23116,0.08774,2.83507,2.89694,1.89267,0.0085348,0.0085348,0.0085348
150,2170.81,2.42452,2.98278,2.01513,0.32495,0.23125,0.22448,0.07798,2.89194,2.86172,1.86427,0.0085249,0.0085249,0.0085249
151,2185.31,2.43099,2.87241,2.00865,0.23846,0.29138,0.22272,0.08055,2.86572,2.85556,1.8772,0.008515,0.008515,0.008515
152,2199.73,2.46815,2.97,2.01828,0.22463,0.34953,0.21452,0.07851,2.90845,2.94639,1.88184,0.0085051,0.0085051,0.0085051
153,2214.11,2.4551,2.89861,2.01754,0.20337,0.28361,0.22799,0.08681,2.8931,2.91958,1.88646,0.0084952,0.0084952,0.0084952
154,2228.6,2.43195,2.92791,2.02223,0.32664,0.30598,0.25982,0.09165,2.90526,2.90029,1.88785,0.0084853,0.0084853,0.0084853
155,2243.08,2.42992,2.94688,1.99357,0.27159,0.29219,0.26256,0.08983,2.86797,2.82203,1.88205,0.0084754,0.0084754,0.0084754
156,2257.45,2.4488,2.90281,1.99559,0.27255,0.28827,0.23531,0.08405,2.863,2.86305,1.89379,0.0084655,0.0084655,0.0084655
157,2271.77,2.36661,2.8155,1.95439,0.22992,0.35403,0.2323,0.08577,2.89437,2.89891,1.87099,0.0084556,0.0084556,0.0084556
158,2286.22,2.39913,2.83659,1.98578,0.25287,0.30994,0.24436,0.08815,2.87381,2.82842,1.86723,0.0084457,0.0084457,0.0084457
159,2300.62,2.37038,2.83964,1.99205,0.20551,0.33164,0.23002,0.08918,2.85628,2.81476,1.8655,0.0084358,0.0084358,0.0084358
160,2315.09,2.34532,2.78894,1.97053,0.41299,0.32508,0.24478,0.08639,2.8994,2.81959,1.88745,0.0084259,0.0084259,0.0084259
161,2329.61,2.4082,2.88078,1.9772,0.40894,0.3667,0.26476,0.08501,2.88279,2.78564,1.8276,0.008416,0.008416,0.008416
162,2344.07,2.39897,2.83069,1.97507,0.23565,0.34428,0.2563,0.09016,2.8672,2.74805,1.85002,0.0084061,0.0084061,0.0084061
163,2358.51,2.38274,2.88199,1.92144,0.30977,0.34858,0.27307,0.09071,2.8494,2.75786,1.85409,0.0083962,0.0083962,0.0083962
164,2372.97,2.37657,2.86822,1.98547,0.28736,0.30378,0.27129,0.09682,2.86933,2.72898,1.88282,0.0083863,0.0083863,0.0083863
165,2387.41,2.38174,2.81537,1.97876,0.34203,0.34058,0.26508,0.0982,2.83183,2.76417,1.86421,0.0083764,0.0083764,0.0083764
166,2401.82,2.35996,2.78032,1.93748,0.25706,0.37391,0.26305,0.09111,2.81819,2.7758,1.86328,0.0083665,0.0083665,0.0083665
167,2416.22,2.40836,2.75448,1.94273,0.39341,0.34519,0.24333,0.08062,2.85334,2.76605,1.87667,0.0083566,0.0083566,0.0083566
168,2430.62,2.32333,2.72567,1.94391,0.23213,0.32043,0.24406,0.0891,2.82908,2.73243,1.83136,0.0083467,0.0083467,0.0083467
169,2444.99,2.33826,2.74554,1.91442,0.23547,0.32928,0.24961,0.08851,2.81861,2.76852,1.86221,0.0083368,0.0083368,0.0083368
170,2459.43,2.38809,2.83426,2.00407,0.33988,0.28866,0.2492,0.08375,2.81722,2.86255,1.86535,0.0083269,0.0083269,0.0083269
171,2473.83,2.37609,2.77451,1.96275,0.28335,0.35619,0.26668,0.09215,2.84715,2.79694,1.8518,0.008317,0.008317,0.008317
172,2488.19,2.39466,2.85195,1.97131,0.30824,0.32008,0.25993,0.08601,2.86756,2.76909,1.87157,0.0083071,0.0083071,0.0083071
173,2502.57,2.34179,2.76839,1.93956,0.27427,0.37195,0.28255,0.09368,2.84359,2.68138,1.86012,0.0082972,0.0082972,0.0082972
174,2516.98,2.39047,2.82067,1.93712,0.26694,0.31932,0.27105,0.0973,2.91222,2.7117,1.92506,0.0082873,0.0082873,0.0082873
175,2531.38,2.37612,2.73817,1.94475,0.32677,0.2873,0.26607,0.09048,2.86631,2.76145,1.87127,0.0082774,0.0082774,0.0082774
176,2545.76,2.36677,2.7618,1.93413,0.26663,0.33559,0.27159,0.08591,2.88699,2.76269,1.91485,0.0082675,0.0082675,0.0082675
177,2560.19,2.38428,2.76343,1.89503,0.47942,0.34261,0.31123,0.09094,2.89658,2.84582,1.91239,0.0082576,0.0082576,0.0082576
178,2574.67,2.34122,2.74802,1.93954,0.30656,0.24987,0.25379,0.08511,2.8603,2.81239,1.90357,0.0082477,0.0082477,0.0082477
179,2589.06,2.325,2.74173,1.97394,0.35956,0.34041,0.30279,0.0973,2.87861,2.77842,1.91303,0.0082378,0.0082378,0.0082378
180,2603.51,2.30279,2.66492,1.95815,0.31395,0.3296,0.27472,0.09038,2.85904,2.76014,1.87012,0.0082279,0.0082279,0.0082279
181,2617.85,2.32616,2.70929,1.91463,0.21757,0.29263,0.23122,0.08022,2.85582,2.83661,1.90145,0.008218,0.008218,0.008218
182,2632.22,2.28654,2.65003,1.92274,0.33263,0.32464,0.28362,0.09444,2.84646,2.86652,1.87495,0.0082081,0.0082081,0.0082081
